onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
2381.857421875	0.001953125	1219512	Stimulus	S33074	33	0
2395.50390625	0.001953125	1226499	Stimulus	S33074	33	0
2406.1953125	0.001953125	1231973	Stimulus	S33074	33	0
2417.763671875	0.001953125	1237896	Stimulus	S33074	33	0
2456.232421875	0.001953125	1257592	Stimulus	S33040	11	1
2496.671875	0.001953125	1278297	Stimulus	S33049	20	7
2519.939453125	0.001953125	1290210	Stimulus	S33040	11	1
2530.478515625	0.001953125	1295606	Stimulus	S33043	14	6
2545.158203125	0.001953125	1303122	Stimulus	S33040	11	1
2553.60546875	0.001953125	1307447	Stimulus	S33029	6	9
2625.7734375	0.001953125	1344397	Stimulus	S33040	11	1
2636.283203125	0.001953125	1349778	Stimulus	S33073	32	8
2644.548828125	0.001953125	1354010	Stimulus	S33040	11	1
2654.76171875	0.001953125	1359239	Stimulus	S33073	32	8
2664.16015625	0.001953125	1364051	Stimulus	S33040	11	1
2811.333984375	0.001953125	1439404	Stimulus	S33043	14	6
2820.296875	0.001953125	1443993	Stimulus	S33040	11	1
2831.484375	0.001953125	1449721	Stimulus	S33029	6	9
2840.328125	0.001953125	1454249	Stimulus	S33040	11	1
2849.40625	0.001953125	1458897	Stimulus	S33049	20	7
2921.12109375	0.001953125	1495615	Stimulus	S33040	11	1
2929.94921875	0.001953125	1500135	Stimulus	S33043	14	6
2938.5234375	0.001953125	1504525	Stimulus	S33040	11	1
2946.822265625	0.001953125	1508774	Stimulus	S33049	20	7
2957.55859375	0.001953125	1514271	Stimulus	S33074	33	0
2965.890625	0.001953125	1518537	Stimulus	S33074	33	0
2975.603515625	0.001953125	1523510	Stimulus	S33064	29	2
2989.01171875	0.001953125	1530375	Stimulus	S33029	6	9
2999.150390625	0.001953125	1535566	Stimulus	S33064	29	2
3007.912109375	0.001953125	1540052	Stimulus	S33043	14	6
3016.3046875	0.001953125	1544349	Stimulus	S33064	29	2
3026.02734375	0.001953125	1549327	Stimulus	S33049	20	7
3036.3203125	0.001953125	1554597	Stimulus	S33064	29	2
3044.509765625	0.001953125	1558790	Stimulus	S33073	32	8
3053.86328125	0.001953125	1563579	Stimulus	S33064	29	2
3062.29296875	0.001953125	1567895	Stimulus	S33029	6	9
3072.857421875	0.001953125	1573304	Stimulus	S33064	29	2
3081.421875	0.001953125	1577689	Stimulus	S33043	14	6
3090.544921875	0.001953125	1582360	Stimulus	S33064	29	2
3102.45703125	0.001953125	1588459	Stimulus	S33049	20	7
3112.876953125	0.001953125	1593794	Stimulus	S33064	29	2
3124.41015625	0.001953125	1599699	Stimulus	S33073	32	8
3134.486328125	0.001953125	1604858	Stimulus	S33064	29	2
3143.37109375	0.001953125	1609407	Stimulus	S33049	20	7
3152.015625	0.001953125	1613833	Stimulus	S33064	29	2
3161.021484375	0.001953125	1618444	Stimulus	S33043	14	6
3170.724609375	0.001953125	1623412	Stimulus	S33074	33	0
3179.861328125	0.001953125	1628090	Stimulus	S33060	25	3
3189.462890625	0.001953125	1633006	Stimulus	S33073	32	8
3209.955078125	0.001953125	1643498	Stimulus	S33060	25	3
3218.1640625	0.001953125	1647701	Stimulus	S33049	20	7
3227.12890625	0.001953125	1652291	Stimulus	S33060	25	3
3236.111328125	0.001953125	1656890	Stimulus	S33029	6	9
3244.4453125	0.001953125	1661157	Stimulus	S33060	25	3
3253.41796875	0.001953125	1665751	Stimulus	S33043	14	6
3261.568359375	0.001953125	1669924	Stimulus	S33060	25	3
3270.97265625	0.001953125	1674739	Stimulus	S33073	32	8
3281.275390625	0.001953125	1680014	Stimulus	S33060	25	3
3290.60546875	0.001953125	1684791	Stimulus	S33029	6	9
3334.775390625	0.001953125	1707406	Stimulus	S33060	25	3
3343.666015625	0.001953125	1711958	Stimulus	S33049	20	7
3392.49609375	0.001953125	1736959	Stimulus	S33060	25	3
3401.271484375	0.001953125	1741452	Stimulus	S33043	14	6
3411.140625	0.001953125	1746505	Stimulus	S33060	25	3
3420.115234375	0.001953125	1751100	Stimulus	S33029	6	9
3428.6953125	0.001953125	1755493	Stimulus	S33060	25	3
3438.123046875	0.001953125	1760320	Stimulus	S33073	32	8
3448.08203125	0.001953125	1765419	Stimulus	S33074	33	0
3456.814453125	0.001953125	1769890	Stimulus	S33074	33	0
3466.025390625	0.001953125	1774606	Stimulus	S33041	12	4
3475.482421875	0.001953125	1779448	Stimulus	S33049	20	7
3484.68359375	0.001953125	1784159	Stimulus	S33041	12	4
3492.744140625	0.001953125	1788286	Stimulus	S33043	14	6
3501.04296875	0.001953125	1792535	Stimulus	S33041	12	4
3509.333984375	0.001953125	1796780	Stimulus	S33029	6	9
3518.09765625	0.001953125	1801267	Stimulus	S33041	12	4
3526.640625	0.001953125	1805641	Stimulus	S33073	32	8
3536.271484375	0.001953125	1810572	Stimulus	S33041	12	4
3544.697265625	0.001953125	1814886	Stimulus	S33029	6	9
3552.93359375	0.001953125	1819103	Stimulus	S33041	12	4
3561.779296875	0.001953125	1823632	Stimulus	S33043	14	6
3570.01171875	0.001953125	1827847	Stimulus	S33041	12	4
3587.513671875	0.001953125	1836808	Stimulus	S33073	32	8
3596.51953125	0.001953125	1841419	Stimulus	S33041	12	4
3606.06640625	0.001953125	1846307	Stimulus	S33049	20	7
