name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
Fp1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Fz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F7	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FT9	EOG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC5	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
T7	EMG	uV	512	chin	n/a	n/a	n/a	n/a	n/a	n/a
TP9	MISC	uV	512	mastoid	n/a	n/a	n/a	n/a	n/a	n/a
CP5	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Pz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P7	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
O1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Oz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
O2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P8	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP10	MISC	uV	512	mastoid	n/a	n/a	n/a	n/a	n/a	n/a
CP6	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Cz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
T8	EMG	uV	512	chin	n/a	n/a	n/a	n/a	n/a	n/a
FT10	EOG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC6	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F8	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Fp2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF7	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AFz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F5	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FT7	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FCz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C5	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP7	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P1	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P5	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO7	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO3	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
POz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO8	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P6	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CPz	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
CP4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
TP8	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C6	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
C2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FC4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
FT8	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F6	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
F2	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF4	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AF8	EEG	uV	512	n/a	n/a	n/a	n/a	n/a	n/a	n/a
SW filtered	MISC	uV	512	Fz referenced to average of linked mastoids and filtered, used for SO detection	.5	4	n/a	n/a	n/a	n/a
