onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
2235.498046875	0.001953125	1144576	Stimulus	S33074	33	0
2243.779296875	0.001953125	1148816	Stimulus	S33074	33	0
2255.107421875	0.001953125	1154616	Stimulus	S33074	33	0
2275.869140625	0.001953125	1165246	Stimulus	S33041	12	1
2296.294921875	0.001953125	1175704	Stimulus	S33029	6	6
2313.23828125	0.001953125	1184379	Stimulus	S33041	12	1
2321.9609375	0.001953125	1188845	Stimulus	S33043	14	7
2353.939453125	0.001953125	1205218	Stimulus	S33041	12	1
2376.552734375	0.001953125	1216796	Stimulus	S33028	5	8
2385.005859375	0.001953125	1221124	Stimulus	S33041	12	1
2437.150390625	0.001953125	1247822	Stimulus	S33044	15	9
2452.87890625	0.001953125	1255875	Stimulus	S33041	12	1
2463.46484375	0.001953125	1261295	Stimulus	S33049	20	10
2475.16015625	0.001953125	1267283	Stimulus	S33041	12	1
2483.412109375	0.001953125	1271508	Stimulus	S33029	6	6
2492.08984375	0.001953125	1275951	Stimulus	S33041	12	1
2502.703125	0.001953125	1281385	Stimulus	S33028	5	8
2550.302734375	0.001953125	1305756	Stimulus	S33041	12	1
2562.470703125	0.001953125	1311986	Stimulus	S33043	14	7
2570.91015625	0.001953125	1316307	Stimulus	S33041	12	1
2629.689453125	0.001953125	1346402	Stimulus	S33049	20	10
2662.767578125	0.001953125	1363338	Stimulus	S33041	12	1
2673.455078125	0.001953125	1368810	Stimulus	S33044	15	9
2695.400390625	0.001953125	1380046	Stimulus	S33074	33	0
2708.78515625	0.001953125	1386899	Stimulus	S33074	33	0
2718.2890625	0.001953125	1391765	Stimulus	S33030	7	2
2727.29296875	0.001953125	1396375	Stimulus	S33029	6	6
2736.54296875	0.001953125	1401111	Stimulus	S33030	7	2
2747.01953125	0.001953125	1406475	Stimulus	S33044	15	9
2780.185546875	0.001953125	1423456	Stimulus	S33030	7	2
2799.123046875	0.001953125	1433152	Stimulus	S33028	5	8
2807.2578125	0.001953125	1437317	Stimulus	S33030	7	2
3074.91796875	0.001953125	1574359	Stimulus	S33043	14	7
