onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1995.6640625	0.001953125	1021781	Stimulus	S33074	33	0
2005.16015625	0.001953125	1026643	Stimulus	S33074	33	0
2013.361328125	0.001953125	1030842	Stimulus	S33074	33	0
2021.943359375	0.001953125	1035236	Stimulus	S33074	33	0
2053.607421875	0.001953125	1051448	Stimulus	S33049	20	1
2074.591796875	0.001953125	1062192	Stimulus	S33061	26	7
2082.802734375	0.001953125	1066396	Stimulus	S33049	20	1
2091.27734375	0.001953125	1070735	Stimulus	S33027	4	6
2174.236328125	0.001953125	1113210	Stimulus	S33049	20	1
2183.232421875	0.001953125	1117816	Stimulus	S33044	15	9
2192.62890625	0.001953125	1122627	Stimulus	S33049	20	1
2241.5703125	0.001953125	1147685	Stimulus	S33040	11	8
2250.603515625	0.001953125	1152310	Stimulus	S33049	20	1
2259.13671875	0.001953125	1156679	Stimulus	S33040	11	8
2267.53125	0.001953125	1160977	Stimulus	S33049	20	1
2280.046875	0.001953125	1167385	Stimulus	S33027	4	6
2288.72265625	0.001953125	1171827	Stimulus	S33049	20	1
2297.55078125	0.001953125	1176347	Stimulus	S33044	15	9
2306.091796875	0.001953125	1180720	Stimulus	S33049	20	1
2348.80859375	0.001953125	1202591	Stimulus	S33061	26	7
2357.052734375	0.001953125	1206812	Stimulus	S33049	20	1
2365.361328125	0.001953125	1211066	Stimulus	S33027	4	6
2373.76953125	0.001953125	1215371	Stimulus	S33049	20	1
2381.90234375	0.001953125	1219535	Stimulus	S33061	26	7
2390.583984375	0.001953125	1223980	Stimulus	S33074	33	0
2398.98828125	0.001953125	1228283	Stimulus	S33074	33	0
2407.208984375	0.001953125	1232492	Stimulus	S33060	25	2
2426.076171875	0.001953125	1242152	Stimulus	S33044	15	9
2435.51171875	0.001953125	1246983	Stimulus	S33060	25	2
2443.86328125	0.001953125	1251259	Stimulus	S33027	4	6
2453.287109375	0.001953125	1256084	Stimulus	S33060	25	2
2462.84765625	0.001953125	1260979	Stimulus	S33061	26	7
2501.873046875	0.001953125	1280960	Stimulus	S33060	25	2
2510.03515625	0.001953125	1285139	Stimulus	S33040	11	8
2518.833984375	0.001953125	1289644	Stimulus	S33060	25	2
2574.697265625	0.001953125	1318246	Stimulus	S33044	15	9
2584.0859375	0.001953125	1323053	Stimulus	S33060	25	2
2592.310546875	0.001953125	1327264	Stimulus	S33027	4	6
2600.40625	0.001953125	1331409	Stimulus	S33060	25	2
2639.0078125	0.001953125	1351173	Stimulus	S33061	26	7
2647.150390625	0.001953125	1355342	Stimulus	S33060	25	2
2655.556640625	0.001953125	1359646	Stimulus	S33040	11	8
2665.029296875	0.001953125	1364496	Stimulus	S33060	25	2
2674.291015625	0.001953125	1369238	Stimulus	S33061	26	7
2682.427734375	0.001953125	1373404	Stimulus	S33060	25	2
2712.90234375	0.001953125	1389007	Stimulus	S33027	4	6
2726.73046875	0.001953125	1396087	Stimulus	S33074	33	0
2735.2421875	0.001953125	1400445	Stimulus	S33048	19	3
2744.330078125	0.001953125	1405098	Stimulus	S33040	11	8
2753.869140625	0.001953125	1409982	Stimulus	S33048	19	3
2778.78515625	0.001953125	1422739	Stimulus	S33061	26	7
2787.5546875	0.001953125	1427229	Stimulus	S33048	19	3
2797.6015625	0.001953125	1432373	Stimulus	S33044	15	9
2807.423828125	0.001953125	1437402	Stimulus	S33048	19	3
2816.34375	0.001953125	1441969	Stimulus	S33027	4	6
2825.15234375	0.001953125	1446479	Stimulus	S33048	19	3
2838.794921875	0.001953125	1453464	Stimulus	S33040	11	8
2847.8046875	0.001953125	1458077	Stimulus	S33048	19	3
2856.751953125	0.001953125	1462658	Stimulus	S33044	15	9
2865.083984375	0.001953125	1466924	Stimulus	S33048	19	3
2874.55859375	0.001953125	1471775	Stimulus	S33061	26	7
2883.82421875	0.001953125	1476519	Stimulus	S33048	19	3
2896.765625	0.001953125	1483145	Stimulus	S33027	4	6
2905.427734375	0.001953125	1487580	Stimulus	S33048	19	3
2913.94921875	0.001953125	1491943	Stimulus	S33044	15	9
2924.62109375	0.001953125	1497407	Stimulus	S33048	19	3
2952.638671875	0.001953125	1511752	Stimulus	S33040	11	8
2960.8828125	0.001953125	1515973	Stimulus	S33074	33	0
2973.00390625	0.001953125	1522179	Stimulus	S33074	33	0
2981.158203125	0.001953125	1526354	Stimulus	S33028	5	4
3016.009765625	0.001953125	1544198	Stimulus	S33061	26	7
3024.8671875	0.001953125	1548733	Stimulus	S33028	5	4
