onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1710.126953125	0.001953125	875586	Stimulus	S33074	33	0
1739.1015625	0.001953125	890421	Stimulus	S33074	33	0
1749.263671875	0.001953125	895624	Stimulus	S33030	7	1
1833.771484375	0.001953125	938892	Stimulus	S33059	24	6
1856.765625	0.001953125	950665	Stimulus	S33030	7	1
1878.12109375	0.001953125	961599	Stimulus	S33028	5	7
1918.216796875	0.001953125	982128	Stimulus	S33030	7	1
1940.52734375	0.001953125	993551	Stimulus	S33027	4	8
1950.2890625	0.001953125	998549	Stimulus	S33030	7	1
1985.96484375	0.001953125	1016815	Stimulus	S33041	12	9
2004.71875	0.001953125	1026417	Stimulus	S33030	7	1
2016.677734375	0.001953125	1032540	Stimulus	S33061	26	10
