onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1660.486328125	0.001953125	850170	Stimulus	S33074	33	0
1670.310546875	0.001953125	855200	Stimulus	S33074	33	0
1689.771484375	0.001953125	865164	Stimulus	S33074	33	0
1698.4140625	0.001953125	869589	Stimulus	S33074	33	0
1797.576171875	0.001953125	920360	Stimulus	S33029	6	1
1871.830078125	0.001953125	958378	Stimulus	S33044	15	7
1882.521484375	0.001953125	963852	Stimulus	S33029	6	1
1890.822265625	0.001953125	968102	Stimulus	S33041	12	6
1901.060546875	0.001953125	973344	Stimulus	S33029	6	1
1910.72265625	0.001953125	978291	Stimulus	S33048	19	9
1919.109375	0.001953125	982585	Stimulus	S33029	6	1
1927.712890625	0.001953125	986990	Stimulus	S33027	4	8
1935.876953125	0.001953125	991170	Stimulus	S33029	6	1
1944.416015625	0.001953125	995542	Stimulus	S33027	4	8
1953.607421875	0.001953125	1000248	Stimulus	S33029	6	1
1963.927734375	0.001953125	1005532	Stimulus	S33041	12	6
1972.07421875	0.001953125	1009703	Stimulus	S33029	6	1
1980.34765625	0.001953125	1013939	Stimulus	S33048	19	9
1988.71484375	0.001953125	1018223	Stimulus	S33029	6	1
1997.970703125	0.001953125	1022962	Stimulus	S33044	15	7
2006.302734375	0.001953125	1027228	Stimulus	S33029	6	1
2014.5859375	0.001953125	1031469	Stimulus	S33041	12	6
2023.173828125	0.001953125	1035866	Stimulus	S33029	6	1
2031.583984375	0.001953125	1040172	Stimulus	S33044	15	7
2040.626953125	0.001953125	1044802	Stimulus	S33074	33	0
2048.94921875	0.001953125	1049063	Stimulus	S33074	33	0
2065.70703125	0.001953125	1057643	Stimulus	S33073	32	2
2074.28125	0.001953125	1062033	Stimulus	S33048	19	9
2082.611328125	0.001953125	1066298	Stimulus	S33073	32	2
2091.611328125	0.001953125	1070906	Stimulus	S33041	12	6
2099.83984375	0.001953125	1075119	Stimulus	S33073	32	2
2108.6171875	0.001953125	1079613	Stimulus	S33044	15	7
2119.17578125	0.001953125	1085019	Stimulus	S33073	32	2
2129.22265625	0.001953125	1090163	Stimulus	S33027	4	8
2137.78125	0.001953125	1094545	Stimulus	S33073	32	2
2146.79296875	0.001953125	1099159	Stimulus	S33048	19	9
2155.451171875	0.001953125	1103592	Stimulus	S33073	32	2
2164.130859375	0.001953125	1108036	Stimulus	S33041	12	6
2173.6953125	0.001953125	1112933	Stimulus	S33073	32	2
2181.90234375	0.001953125	1117135	Stimulus	S33044	15	7
2190.65625	0.001953125	1121617	Stimulus	S33073	32	2
2200.30078125	0.001953125	1126555	Stimulus	S33027	4	8
2210.16015625	0.001953125	1131603	Stimulus	S33073	32	2
2218.7421875	0.001953125	1135997	Stimulus	S33044	15	7
2227.595703125	0.001953125	1140530	Stimulus	S33073	32	2
2237.03515625	0.001953125	1145363	Stimulus	S33041	12	6
2245.984375	0.001953125	1149945	Stimulus	S33074	33	0
2254.71484375	0.001953125	1154415	Stimulus	S33043	14	3
2263.970703125	0.001953125	1159154	Stimulus	S33027	4	8
2272.35546875	0.001953125	1163447	Stimulus	S33043	14	3
2280.6953125	0.001953125	1167717	Stimulus	S33044	15	7
2289.419921875	0.001953125	1172184	Stimulus	S33043	14	3
2298.18359375	0.001953125	1176671	Stimulus	S33048	19	9
2306.9296875	0.001953125	1181149	Stimulus	S33043	14	3
2315.7578125	0.001953125	1185669	Stimulus	S33041	12	6
2324.140625	0.001953125	1189961	Stimulus	S33043	14	3
2332.58984375	0.001953125	1194287	Stimulus	S33027	4	8
2340.939453125	0.001953125	1198562	Stimulus	S33043	14	3
2349.873046875	0.001953125	1203136	Stimulus	S33048	19	9
2357.994140625	0.001953125	1207294	Stimulus	S33043	14	3
2366.138671875	0.001953125	1211464	Stimulus	S33044	15	7
2374.76953125	0.001953125	1215883	Stimulus	S33043	14	3
2384.02734375	0.001953125	1220623	Stimulus	S33041	12	6
2393.515625	0.001953125	1225481	Stimulus	S33043	14	3
2401.763671875	0.001953125	1229704	Stimulus	S33048	19	9
2440.275390625	0.001953125	1249422	Stimulus	S33043	14	3
2448.970703125	0.001953125	1253874	Stimulus	S33027	4	8
2457.591796875	0.001953125	1258288	Stimulus	S33074	33	0
2466.189453125	0.001953125	1262690	Stimulus	S33074	33	0
2474.296875	0.001953125	1266841	Stimulus	S33061	26	4
2482.962890625	0.001953125	1271278	Stimulus	S33044	15	7
2491.87890625	0.001953125	1275843	Stimulus	S33061	26	4
2500.845703125	0.001953125	1280434	Stimulus	S33041	12	6
2509.185546875	0.001953125	1284704	Stimulus	S33061	26	4
2518.064453125	0.001953125	1289250	Stimulus	S33048	19	9
2527.021484375	0.001953125	1293836	Stimulus	S33061	26	4
2535.189453125	0.001953125	1298018	Stimulus	S33027	4	8
2543.5546875	0.001953125	1302301	Stimulus	S33061	26	4
2552.455078125	0.001953125	1306858	Stimulus	S33048	19	9
2563.1015625	0.001953125	1312309	Stimulus	S33061	26	4
2571.599609375	0.001953125	1316660	Stimulus	S33041	12	6
2582.59765625	0.001953125	1322291	Stimulus	S33061	26	4
2591.015625	0.001953125	1326601	Stimulus	S33027	4	8
2599.310546875	0.001953125	1330848	Stimulus	S33061	26	4
2607.966796875	0.001953125	1335280	Stimulus	S33044	15	7
2616.10546875	0.001953125	1339447	Stimulus	S33061	26	4
2624.7578125	0.001953125	1343877	Stimulus	S33027	4	8
2634.43359375	0.001953125	1348831	Stimulus	S33061	26	4
2643.662109375	0.001953125	1353556	Stimulus	S33048	19	9
2652.580078125	0.001953125	1358122	Stimulus	S33074	33	0
2661.740234375	0.001953125	1362812	Stimulus	S33074	33	0
2670.30078125	0.001953125	1367195	Stimulus	S33074	33	0
2678.466796875	0.001953125	1371376	Stimulus	S33074	33	0
2687.232421875	0.001953125	1375864	Stimulus	S33074	33	0
2695.599609375	0.001953125	1380148	Stimulus	S33074	33	0
2705.564453125	0.001953125	1385250	Stimulus	S33074	33	0
2714.017578125	0.001953125	1389578	Stimulus	S33074	33	0
2722.296875	0.001953125	1393817	Stimulus	S33074	33	0
2731.7421875	0.001953125	1398653	Stimulus	S33074	33	0
2741.681640625	0.001953125	1403742	Stimulus	S33074	33	0
