onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1968.4453125	0.001953125	1007845	Stimulus	S33074	33	0
1978.630859375	0.001953125	1013060	Stimulus	S33074	33	0
1988.2890625	0.001953125	1018005	Stimulus	S33046	17	1
1996.744140625	0.001953125	1022334	Stimulus	S33044	15	6
2012.818359375	0.001953125	1030564	Stimulus	S33046	17	1
2021.13671875	0.001953125	1034823	Stimulus	S33048	19	7
2044.3984375	0.001953125	1046733	Stimulus	S33046	17	1
2054.537109375	0.001953125	1051924	Stimulus	S33029	6	8
2063.068359375	0.001953125	1056292	Stimulus	S33046	17	1
2075.228515625	0.001953125	1062518	Stimulus	S33073	32	9
2083.583984375	0.001953125	1066796	Stimulus	S33046	17	1
2091.7578125	0.001953125	1070981	Stimulus	S33044	15	6
2109.359375	0.001953125	1079993	Stimulus	S33046	17	1
2117.59765625	0.001953125	1084211	Stimulus	S33029	6	8
2125.72265625	0.001953125	1088371	Stimulus	S33046	17	1
2134.052734375	0.001953125	1092636	Stimulus	S33048	19	7
2148.826171875	0.001953125	1100200	Stimulus	S33046	17	1
2158.697265625	0.001953125	1105254	Stimulus	S33073	32	9
2167.439453125	0.001953125	1109730	Stimulus	S33074	33	0
2175.693359375	0.001953125	1113956	Stimulus	S33074	33	0
2184.498046875	0.001953125	1118464	Stimulus	S33043	14	2
2193.119140625	0.001953125	1122878	Stimulus	S33044	15	6
2201.24609375	0.001953125	1127039	Stimulus	S33043	14	2
2211.275390625	0.001953125	1132174	Stimulus	S33073	32	9
2219.712890625	0.001953125	1136494	Stimulus	S33043	14	2
2233.783203125	0.001953125	1143698	Stimulus	S33029	6	8
2242.3515625	0.001953125	1148085	Stimulus	S33043	14	2
2256.79296875	0.001953125	1155479	Stimulus	S33048	19	7
2266.025390625	0.001953125	1160206	Stimulus	S33043	14	2
2275.728515625	0.001953125	1165174	Stimulus	S33073	32	9
2284.310546875	0.001953125	1169568	Stimulus	S33043	14	2
2293.41796875	0.001953125	1174231	Stimulus	S33029	6	8
2301.63671875	0.001953125	1178439	Stimulus	S33043	14	2
2311.23828125	0.001953125	1183355	Stimulus	S33044	15	6
2319.482421875	0.001953125	1187576	Stimulus	S33043	14	2
2329.16796875	0.001953125	1192535	Stimulus	S33048	19	7
2338.751953125	0.001953125	1197442	Stimulus	S33074	33	0
2347.56640625	0.001953125	1201955	Stimulus	S33040	11	3
2355.994140625	0.001953125	1206270	Stimulus	S33029	6	8
2365.447265625	0.001953125	1211110	Stimulus	S33040	11	3
2373.650390625	0.001953125	1215310	Stimulus	S33048	19	7
2383.072265625	0.001953125	1220134	Stimulus	S33040	11	3
2393.40234375	0.001953125	1225423	Stimulus	S33073	32	9
2401.78515625	0.001953125	1229715	Stimulus	S33040	11	3
2410.40625	0.001953125	1234129	Stimulus	S33044	15	6
2418.509765625	0.001953125	1238278	Stimulus	S33040	11	3
2428.423828125	0.001953125	1243354	Stimulus	S33029	6	8
2437.09765625	0.001953125	1247795	Stimulus	S33040	11	3
2447.646484375	0.001953125	1253196	Stimulus	S33073	32	9
2455.826171875	0.001953125	1257384	Stimulus	S33040	11	3
2465.279296875	0.001953125	1262224	Stimulus	S33048	19	7
2474.630859375	0.001953125	1267012	Stimulus	S33040	11	3
2482.7109375	0.001953125	1271149	Stimulus	S33044	15	6
2491.62890625	0.001953125	1275715	Stimulus	S33074	33	0
2499.763671875	0.001953125	1279880	Stimulus	S33074	33	0
2510.595703125	0.001953125	1285426	Stimulus	S33041	12	4
2521.265625	0.001953125	1290889	Stimulus	S33044	15	6
2529.533203125	0.001953125	1295122	Stimulus	S33041	12	4
2538.6796875	0.001953125	1299805	Stimulus	S33048	19	7
2548.72265625	0.001953125	1304947	Stimulus	S33041	12	4
2570.68359375	0.001953125	1316191	Stimulus	S33073	32	9
2581.15234375	0.001953125	1321551	Stimulus	S33041	12	4
2589.724609375	0.001953125	1325940	Stimulus	S33029	6	8
2599.392578125	0.001953125	1330890	Stimulus	S33041	12	4
2608.45703125	0.001953125	1335531	Stimulus	S33073	32	9
2617.134765625	0.001953125	1339974	Stimulus	S33041	12	4
2626.220703125	0.001953125	1344626	Stimulus	S33044	15	6
2635.62890625	0.001953125	1349443	Stimulus	S33041	12	4
2644.326171875	0.001953125	1353896	Stimulus	S33048	19	7
2654.0078125	0.001953125	1358853	Stimulus	S33041	12	4
2665.44140625	0.001953125	1364707	Stimulus	S33029	6	8
2677.4765625	0.001953125	1370869	Stimulus	S33074	33	0
2686.11328125	0.001953125	1375291	Stimulus	S33074	33	0
2694.478515625	0.001953125	1379574	Stimulus	S33074	33	0
2703.078125	0.001953125	1383977	Stimulus	S33074	33	0
2711.6953125	0.001953125	1388389	Stimulus	S33074	33	0
2720.34375	0.001953125	1392817	Stimulus	S33074	33	0
2728.533203125	0.001953125	1397010	Stimulus	S33074	33	0
2737.232421875	0.001953125	1401464	Stimulus	S33074	33	0
2745.98046875	0.001953125	1405943	Stimulus	S33074	33	0
2755.037109375	0.001953125	1410580	Stimulus	S33074	33	0
2764.416015625	0.001953125	1415382	Stimulus	S33074	33	0
2772.82421875	0.001953125	1419687	Stimulus	S33074	33	0
2782.126953125	0.001953125	1424450	Stimulus	S33074	33	0
2795.1796875	0.001953125	1431133	Stimulus	S33074	33	0
2803.701171875	0.001953125	1435496	Stimulus	S33074	33	0
2812.517578125	0.001953125	1440010	Stimulus	S33074	33	0
3184.126953125	0.001953125	1630274	Stimulus	S33074	33	0
3192.365234375	0.001953125	1634492	Stimulus	S33074	33	0
