onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
501.740234375	0.001953125	256892	Stimulus	S33074	33	0
511.744140625	0.001953125	262014	Stimulus	S33074	33	0
549.302734375	0.001953125	281244	Stimulus	S33041	12	1
646.1328125	0.001953125	330821	Stimulus	S33060	25	6
655.978515625	0.001953125	335862	Stimulus	S33041	12	1
711.630859375	0.001953125	364356	Stimulus	S33049	20	7
731.10546875	0.001953125	374327	Stimulus	S33041	12	1
779.171875	0.001953125	398937	Stimulus	S33028	5	8
789.44921875	0.001953125	404199	Stimulus	S33041	12	1
859.6640625	0.001953125	440149	Stimulus	S33046	17	9
872.796875	0.001953125	446873	Stimulus	S33041	12	1
892.60546875	0.001953125	457015	Stimulus	S33040	11	10
907.146484375	0.001953125	464460	Stimulus	S33041	12	1
948.6640625	0.001953125	485717	Stimulus	S33060	25	6
990.546875	0.001953125	507161	Stimulus	S33041	12	1
1051.822265625	0.001953125	538534	Stimulus	S33028	5	8
1063.107421875	0.001953125	544312	Stimulus	S33041	12	1
1071.216796875	0.001953125	548464	Stimulus	S33049	20	7
1107.603515625	0.001953125	567094	Stimulus	S33041	12	1
1116.279296875	0.001953125	571536	Stimulus	S33040	11	10
1150.615234375	0.001953125	589116	Stimulus	S33041	12	1
1160.068359375	0.001953125	593956	Stimulus	S33046	17	9
1191.064453125	0.001953125	609826	Stimulus	S33074	33	0
1211.076171875	0.001953125	620072	Stimulus	S33074	33	0
1221.025390625	0.001953125	625166	Stimulus	S33064	29	2
1282.50390625	0.001953125	656643	Stimulus	S33060	25	6
1290.771484375	0.001953125	660876	Stimulus	S33064	29	2
1311.494140625	0.001953125	671486	Stimulus	S33046	17	9
1344.546875	0.001953125	688409	Stimulus	S33064	29	2
1382.4921875	0.001953125	707837	Stimulus	S33028	5	8
1397.92578125	0.001953125	715739	Stimulus	S33064	29	2
1410.087890625	0.001953125	721966	Stimulus	S33049	20	7
1419.048828125	0.001953125	726554	Stimulus	S33064	29	2
1427.62890625	0.001953125	730947	Stimulus	S33040	11	10
1439.4140625	0.001953125	736981	Stimulus	S33064	29	2
1448.189453125	0.001953125	741474	Stimulus	S33046	17	9
1492.05859375	0.001953125	763935	Stimulus	S33064	29	2
1520.224609375	0.001953125	778356	Stimulus	S33028	5	8
1528.43359375	0.001953125	782559	Stimulus	S33064	29	2
1548.525390625	0.001953125	792846	Stimulus	S33060	25	6
1575.392578125	0.001953125	806602	Stimulus	S33064	29	2
1583.50390625	0.001953125	810755	Stimulus	S33040	11	10
1593.015625	0.001953125	815625	Stimulus	S33041	12	1
1601.294921875	0.001953125	819864	Stimulus	S33049	20	7
1610.361328125	0.001953125	824506	Stimulus	S33029	6	3
1630.671875	0.001953125	834905	Stimulus	S33028	5	8
1638.849609375	0.001953125	839092	Stimulus	S33029	6	3
1647.408203125	0.001953125	843474	Stimulus	S33049	20	7
1657.09375	0.001953125	848433	Stimulus	S33029	6	3
1680.30859375	0.001953125	860319	Stimulus	S33046	17	9
1689.705078125	0.001953125	865130	Stimulus	S33029	6	3
1729.5546875	0.001953125	885533	Stimulus	S33060	25	6
1738.71484375	0.001953125	890223	Stimulus	S33029	6	3
1747.505859375	0.001953125	894724	Stimulus	S33040	11	10
1755.650390625	0.001953125	898894	Stimulus	S33029	6	3
1765.431640625	0.001953125	903902	Stimulus	S33028	5	8
1774.33203125	0.001953125	908459	Stimulus	S33029	6	3
1786.435546875	0.001953125	914656	Stimulus	S33046	17	9
1804.669921875	0.001953125	923992	Stimulus	S33029	6	3
1818.7109375	0.001953125	931181	Stimulus	S33040	11	10
1827.080078125	0.001953125	935466	Stimulus	S33029	6	3
1835.37890625	0.001953125	939715	Stimulus	S33049	20	7
1845.955078125	0.001953125	945130	Stimulus	S33029	6	3
1854.587890625	0.001953125	949550	Stimulus	S33060	25	6
1864.84375	0.001953125	954801	Stimulus	S33074	33	0
1876.779296875	0.001953125	960912	Stimulus	S33074	33	0
1885.3828125	0.001953125	965317	Stimulus	S33073	32	4
1894.078125	0.001953125	969769	Stimulus	S33060	25	6
2298.216796875	0.001953125	1176688	Stimulus	S33073	32	4
2380.546875	0.001953125	1218841	Stimulus	S33049	20	7
2422.806640625	0.001953125	1240478	Stimulus	S33073	32	4
