onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
2578.521484375	0.001953125	1320204	Stimulus	S33074	33	0
2587.310546875	0.001953125	1324704	Stimulus	S33074	33	0
2595.88671875	0.001953125	1329095	Stimulus	S33074	33	0
2608.365234375	0.001953125	1335484	Stimulus	S33074	33	0
2874.943359375	0.001953125	1471972	Stimulus	S33061	26	1
2942.974609375	0.001953125	1506804	Stimulus	S33030	7	7
2951.59765625	0.001953125	1511219	Stimulus	S33061	26	1
2964.390625	0.001953125	1517769	Stimulus	S33040	11	6
3014.005859375	0.001953125	1543172	Stimulus	S33061	26	1
3023.03125	0.001953125	1547793	Stimulus	S33056	21	9
3100.626953125	0.001953125	1587522	Stimulus	S33061	26	1
3109.392578125	0.001953125	1592010	Stimulus	S33049	20	8
3165.9140625	0.001953125	1620949	Stimulus	S33061	26	1
3174.134765625	0.001953125	1625158	Stimulus	S33049	20	8
3183.6953125	0.001953125	1630053	Stimulus	S33061	26	1
3196.53515625	0.001953125	1636627	Stimulus	S33040	11	6
3209.267578125	0.001953125	1643146	Stimulus	S33061	26	1
3294.005859375	0.001953125	1686532	Stimulus	S33056	21	9
3343.697265625	0.001953125	1711974	Stimulus	S33061	26	1
3406.0234375	0.001953125	1743885	Stimulus	S33030	7	7
3415.08984375	0.001953125	1748527	Stimulus	S33061	26	1
3427.859375	0.001953125	1755065	Stimulus	S33040	11	6
3437.486328125	0.001953125	1759994	Stimulus	S33061	26	1
3447.5546875	0.001953125	1765149	Stimulus	S33030	7	7
3456.78125	0.001953125	1769873	Stimulus	S33074	33	0
3469.078125	0.001953125	1776169	Stimulus	S33074	33	0
3478.06640625	0.001953125	1780771	Stimulus	S33048	19	2
3486.357421875	0.001953125	1785016	Stimulus	S33056	21	9
3495.0859375	0.001953125	1789485	Stimulus	S33048	19	2
3503.791015625	0.001953125	1793942	Stimulus	S33040	11	6
3512.15234375	0.001953125	1798223	Stimulus	S33048	19	2
3521.560546875	0.001953125	1803040	Stimulus	S33030	7	7
3530.6171875	0.001953125	1807677	Stimulus	S33048	19	2
3539.28515625	0.001953125	1812115	Stimulus	S33049	20	8
3547.728515625	0.001953125	1816438	Stimulus	S33048	19	2
3557.642578125	0.001953125	1821514	Stimulus	S33056	21	9
3597.583984375	0.001953125	1841964	Stimulus	S33048	19	2
3610.58984375	0.001953125	1848623	Stimulus	S33040	11	6
3622.912109375	0.001953125	1854932	Stimulus	S33048	19	2
3655.611328125	0.001953125	1871674	Stimulus	S33030	7	7
3673.08984375	0.001953125	1880623	Stimulus	S33048	19	2
3682.29296875	0.001953125	1885335	Stimulus	S33049	20	8
3730.9609375	0.001953125	1910253	Stimulus	S33048	19	2
3742.60546875	0.001953125	1916215	Stimulus	S33030	7	7
3750.9453125	0.001953125	1920485	Stimulus	S33048	19	2
3760.87890625	0.001953125	1925571	Stimulus	S33040	11	6
3769.783203125	0.001953125	1930130	Stimulus	S33074	33	0
3779.654296875	0.001953125	1935184	Stimulus	S33044	15	3
3788.619140625	0.001953125	1939774	Stimulus	S33049	20	8
3802.873046875	0.001953125	1947072	Stimulus	S33044	15	3
3833.66015625	0.001953125	1962835	Stimulus	S33030	7	7
3842.423828125	0.001953125	1967322	Stimulus	S33044	15	3
3850.751953125	0.001953125	1971586	Stimulus	S33056	21	9
3860.021484375	0.001953125	1976332	Stimulus	S33044	15	3
3872.015625	0.001953125	1982473	Stimulus	S33040	11	6
3881.705078125	0.001953125	1987434	Stimulus	S33044	15	3
3892.2734375	0.001953125	1992845	Stimulus	S33049	20	8
3900.96875	0.001953125	1997297	Stimulus	S33044	15	3
3922.15625	0.001953125	2008145	Stimulus	S33056	21	9
3931.12109375	0.001953125	2012735	Stimulus	S33044	15	3
3939.82421875	0.001953125	2017191	Stimulus	S33030	7	7
3950.99609375	0.001953125	2022911	Stimulus	S33044	15	3
3962.384765625	0.001953125	2028742	Stimulus	S33040	11	6
3971.169921875	0.001953125	2033240	Stimulus	S33044	15	3
3993.40625	0.001953125	2044625	Stimulus	S33056	21	9
4003.83203125	0.001953125	2049963	Stimulus	S33044	15	3
4074.14453125	0.001953125	2085963	Stimulus	S33049	20	8
4088.740234375	0.001953125	2093436	Stimulus	S33074	33	0
4097.958984375	0.001953125	2098156	Stimulus	S33074	33	0
4106.322265625	0.001953125	2102438	Stimulus	S33046	17	4
4135.732421875	0.001953125	2117496	Stimulus	S33030	7	7
4145.84765625	0.001953125	2122675	Stimulus	S33046	17	4
4156.111328125	0.001953125	2127930	Stimulus	S33040	11	6
4164.796875	0.001953125	2132377	Stimulus	S33046	17	4
4175.7109375	0.001953125	2137965	Stimulus	S33056	21	9
4185.544921875	0.001953125	2143000	Stimulus	S33046	17	4
4194.873046875	0.001953125	2147776	Stimulus	S33049	20	8
4203.275390625	0.001953125	2152078	Stimulus	S33046	17	4
4212.556640625	0.001953125	2156830	Stimulus	S33056	21	9
4224.244140625	0.001953125	2162814	Stimulus	S33046	17	4
4232.65625	0.001953125	2167121	Stimulus	S33040	11	6
4241.251953125	0.001953125	2171522	Stimulus	S33046	17	4
4250.662109375	0.001953125	2176340	Stimulus	S33049	20	8
4259.478515625	0.001953125	2180854	Stimulus	S33046	17	4
4270.033203125	0.001953125	2186258	Stimulus	S33030	7	7
4281.498046875	0.001953125	2192128	Stimulus	S33046	17	4
4291.296875	0.001953125	2197145	Stimulus	S33049	20	8
4341.47265625	0.001953125	2222835	Stimulus	S33046	17	4
4350.447265625	0.001953125	2227430	Stimulus	S33056	21	9
4361.19140625	0.001953125	2232931	Stimulus	S33074	33	0
4369.8203125	0.001953125	2237349	Stimulus	S33074	33	0
4380.7578125	0.001953125	2242949	Stimulus	S33074	33	0
4391.64453125	0.001953125	2248523	Stimulus	S33074	33	0
