onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1026.84375	0.001953125	525745	Stimulus	S33074	33	0
1040.51171875	0.001953125	532743	Stimulus	S33074	33	0
1104.123046875	0.001953125	565312	Stimulus	S33074	33	0
1116.98828125	0.001953125	571899	Stimulus	S33074	33	0
1126.193359375	0.001953125	576612	Stimulus	S33048	19	1
1252.14453125	0.001953125	641099	Stimulus	S33049	20	6
1268.865234375	0.001953125	649660	Stimulus	S33048	19	1
1278.28515625	0.001953125	654483	Stimulus	S33043	14	7
1593.333984375	0.001953125	815788	Stimulus	S33048	19	1
1601.4765625	0.001953125	819957	Stimulus	S33046	17	8
1609.8203125	0.001953125	824229	Stimulus	S33048	19	1
2541.95703125	0.001953125	1301483	Stimulus	S33060	25	9
2550.21484375	0.001953125	1305711	Stimulus	S33048	19	1
