onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1243.333984375	0.001953125	636588	Stimulus	S33074	33	0
1272.83203125	0.001953125	651691	Stimulus	S33074	33	0
1281.19921875	0.001953125	655975	Stimulus	S33074	33	0
1295.513671875	0.001953125	663304	Stimulus	S33074	33	0
1351.921875	0.001953125	692185	Stimulus	S33027	4	1
1423.908203125	0.001953125	729042	Stimulus	S33030	7	6
1435.1171875	0.001953125	734781	Stimulus	S33027	4	1
1483.140625	0.001953125	759369	Stimulus	S33061	26	7
1495.1796875	0.001953125	765533	Stimulus	S33027	4	1
1509.783203125	0.001953125	773010	Stimulus	S33049	20	8
1518.087890625	0.001953125	777262	Stimulus	S33027	4	1
1626.611328125	0.001953125	832826	Stimulus	S33041	12	9
1655.677734375	0.001953125	847708	Stimulus	S33027	4	1
1670.068359375	0.001953125	855076	Stimulus	S33030	7	6
1679.52734375	0.001953125	859919	Stimulus	S33027	4	1
1691.521484375	0.001953125	866060	Stimulus	S33049	20	8
1699.96875	0.001953125	870385	Stimulus	S33027	4	1
1708.4921875	0.001953125	874749	Stimulus	S33061	26	7
1717.427734375	0.001953125	879324	Stimulus	S33027	4	1
1727.12890625	0.001953125	884291	Stimulus	S33041	12	9
1737.33203125	0.001953125	889515	Stimulus	S33027	4	1
1755.689453125	0.001953125	898914	Stimulus	S33030	7	6
1763.794921875	0.001953125	903064	Stimulus	S33027	4	1
1774.916015625	0.001953125	908758	Stimulus	S33061	26	7
1898.185546875	0.001953125	971872	Stimulus	S33074	33	0
1910.158203125	0.001953125	978002	Stimulus	S33074	33	0
1919.583984375	0.001953125	982828	Stimulus	S33029	6	2
1927.822265625	0.001953125	987046	Stimulus	S33030	7	6
1938.3984375	0.001953125	992461	Stimulus	S33029	6	2
1946.705078125	0.001953125	996714	Stimulus	S33041	12	9
1955.419921875	0.001953125	1001176	Stimulus	S33029	6	2
1967.849609375	0.001953125	1007540	Stimulus	S33049	20	8
1976.08203125	0.001953125	1011755	Stimulus	S33029	6	2
1984.5078125	0.001953125	1016069	Stimulus	S33061	26	7
1993.95703125	0.001953125	1020907	Stimulus	S33029	6	2
