onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
910.671875	0.001953125	466265	Stimulus	S33074	33	0
919.01953125	0.001953125	470539	Stimulus	S33074	33	0
927.904296875	0.001953125	475088	Stimulus	S33074	33	0
935.96875	0.001953125	479217	Stimulus	S33074	33	0
964.419921875	0.001953125	493784	Stimulus	S33064	29	1
1012.13671875	0.001953125	518215	Stimulus	S33049	20	6
1021.04296875	0.001953125	522775	Stimulus	S33064	29	1
1036.267578125	0.001953125	530570	Stimulus	S33048	19	7
1044.5859375	0.001953125	534829	Stimulus	S33064	29	1
1052.826171875	0.001953125	539048	Stimulus	S33059	24	8
1063.84765625	0.001953125	544691	Stimulus	S33064	29	1
1072.55078125	0.001953125	549147	Stimulus	S33060	25	9
1085.837890625	0.001953125	555950	Stimulus	S33064	29	1
1094.44140625	0.001953125	560355	Stimulus	S33049	20	6
1102.5703125	0.001953125	564517	Stimulus	S33064	29	1
1133.689453125	0.001953125	580450	Stimulus	S33059	24	8
1141.904296875	0.001953125	584656	Stimulus	S33064	29	1
1152.59375	0.001953125	590129	Stimulus	S33048	19	7
1193.802734375	0.001953125	611228	Stimulus	S33064	29	1
1202.28515625	0.001953125	615571	Stimulus	S33060	25	9
1210.96875	0.001953125	620017	Stimulus	S33064	29	1
1226.390625	0.001953125	627913	Stimulus	S33049	20	6
1235.58203125	0.001953125	632619	Stimulus	S33074	33	0
1244.958984375	0.001953125	637420	Stimulus	S33074	33	0
1253.892578125	0.001953125	641994	Stimulus	S33029	6	2
1262.44140625	0.001953125	646371	Stimulus	S33049	20	6
1270.83984375	0.001953125	650671	Stimulus	S33029	6	2
1280.08203125	0.001953125	655403	Stimulus	S33060	25	9
1290.12109375	0.001953125	660543	Stimulus	S33029	6	2
1299.46484375	0.001953125	665327	Stimulus	S33059	24	8
1308.443359375	0.001953125	669924	Stimulus	S33029	6	2
1317.47265625	0.001953125	674547	Stimulus	S33048	19	7
1326.59765625	0.001953125	679219	Stimulus	S33029	6	2
1335.751953125	0.001953125	683906	Stimulus	S33060	25	9
1344.0078125	0.001953125	688133	Stimulus	S33029	6	2
1353.068359375	0.001953125	692772	Stimulus	S33059	24	8
1364.322265625	0.001953125	698534	Stimulus	S33029	6	2
1372.474609375	0.001953125	702708	Stimulus	S33049	20	6
1382.91015625	0.001953125	708051	Stimulus	S33029	6	2
1393.7734375	0.001953125	713613	Stimulus	S33048	19	7
1403.02734375	0.001953125	718351	Stimulus	S33029	6	2
1411.302734375	0.001953125	722588	Stimulus	S33048	19	7
1421.908203125	0.001953125	728018	Stimulus	S33074	33	0
1431.83203125	0.001953125	733099	Stimulus	S33043	14	3
1440.212890625	0.001953125	737390	Stimulus	S33059	24	8
1449.251953125	0.001953125	742018	Stimulus	S33043	14	3
1457.337890625	0.001953125	746158	Stimulus	S33048	19	7
1467.244140625	0.001953125	751230	Stimulus	S33043	14	3
1478.16015625	0.001953125	756819	Stimulus	S33060	25	9
1493.759765625	0.001953125	764806	Stimulus	S33043	14	3
1504.521484375	0.001953125	770316	Stimulus	S33049	20	6
1513.322265625	0.001953125	774822	Stimulus	S33043	14	3
1522.189453125	0.001953125	779362	Stimulus	S33059	24	8
1530.314453125	0.001953125	783522	Stimulus	S33043	14	3
1540.90625	0.001953125	788945	Stimulus	S33060	25	9
1549.080078125	0.001953125	793130	Stimulus	S33043	14	3
1558.697265625	0.001953125	798054	Stimulus	S33048	19	7
1569.98046875	0.001953125	803831	Stimulus	S33043	14	3
1578.67578125	0.001953125	808283	Stimulus	S33049	20	6
1587.712890625	0.001953125	812910	Stimulus	S33043	14	3
1596.1015625	0.001953125	817205	Stimulus	S33059	24	8
1606.958984375	0.001953125	822764	Stimulus	S33074	33	0
1616.6015625	0.001953125	827701	Stimulus	S33074	33	0
1625.408203125	0.001953125	832210	Stimulus	S33046	17	4
1635.83203125	0.001953125	837547	Stimulus	S33049	20	6
1644.78125	0.001953125	842129	Stimulus	S33046	17	4
1688.642578125	0.001953125	864586	Stimulus	S33048	19	7
1697.0703125	0.001953125	868901	Stimulus	S33046	17	4
1706.42578125	0.001953125	873691	Stimulus	S33060	25	9
1715.04296875	0.001953125	878103	Stimulus	S33046	17	4
1723.0859375	0.001953125	882221	Stimulus	S33059	24	8
1731.453125	0.001953125	886505	Stimulus	S33046	17	4
