onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1979.814453125	0.001953125	1013666	Stimulus	S33074	33	0
2007.271484375	0.001953125	1027724	Stimulus	S33074	33	0
2026.126953125	0.001953125	1037378	Stimulus	S33074	33	0
2048.2265625	0.001953125	1048693	Stimulus	S33074	33	0
2122.783203125	0.001953125	1086866	Stimulus	S33040	11	1
2135.798828125	0.001953125	1093530	Stimulus	S33028	5	6
2197.1484375	0.001953125	1124941	Stimulus	S33040	11	1
2205.9453125	0.001953125	1129445	Stimulus	S33073	32	7
2218.35546875	0.001953125	1135799	Stimulus	S33040	11	1
2226.78125	0.001953125	1140113	Stimulus	S33030	7	8
2236.15234375	0.001953125	1144911	Stimulus	S33040	11	1
2254.65625	0.001953125	1154385	Stimulus	S33064	29	9
2309.564453125	0.001953125	1182498	Stimulus	S33040	11	1
2317.9921875	0.001953125	1186813	Stimulus	S33028	5	6
2328.94921875	0.001953125	1192423	Stimulus	S33040	11	1
2337.01953125	0.001953125	1196555	Stimulus	S33030	7	8
2345.5703125	0.001953125	1200933	Stimulus	S33040	11	1
2354.720703125	0.001953125	1205618	Stimulus	S33073	32	7
2367.83984375	0.001953125	1212335	Stimulus	S33040	11	1
2380.845703125	0.001953125	1218994	Stimulus	S33064	29	9
2388.923828125	0.001953125	1223130	Stimulus	S33040	11	1
