onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
37.708984375	0.001953125	19308	Stimulus	S33043	14	1
87.666015625	0.001953125	44886	Stimulus	S33028	5	7
103.126953125	0.001953125	52802	Stimulus	S33043	14	1
111.400390625	0.001953125	57038	Stimulus	S33041	12	6
135.767578125	0.001953125	69514	Stimulus	S33043	14	1
149.5859375	0.001953125	76589	Stimulus	S33073	32	9
168.91796875	0.001953125	86487	Stimulus	S33043	14	1
177.896484375	0.001953125	91084	Stimulus	S33029	6	8
187.21484375	0.001953125	95855	Stimulus	S33043	14	1
196.171875	0.001953125	100441	Stimulus	S33029	6	8
207.474609375	0.001953125	106228	Stimulus	S33043	14	1
219.56640625	0.001953125	112419	Stimulus	S33041	12	6
248.859375	0.001953125	127417	Stimulus	S33043	14	1
277.580078125	0.001953125	142122	Stimulus	S33073	32	9
286.5546875	0.001953125	146717	Stimulus	S33043	14	1
295.771484375	0.001953125	151436	Stimulus	S33028	5	7
317.306640625	0.001953125	162462	Stimulus	S33043	14	1
326.146484375	0.001953125	166988	Stimulus	S33041	12	6
349.037109375	0.001953125	178708	Stimulus	S33043	14	1
382.396484375	0.001953125	195788	Stimulus	S33028	5	7
394.548828125	0.001953125	202010	Stimulus	S33074	33	0
405.314453125	0.001953125	207522	Stimulus	S33074	33	0
414.54296875	0.001953125	212247	Stimulus	S33059	24	2
423.6484375	0.001953125	216909	Stimulus	S33073	32	9
431.921875	0.001953125	221145	Stimulus	S33059	24	2
440.42578125	0.001953125	225499	Stimulus	S33041	12	6
450.388671875	0.001953125	230600	Stimulus	S33059	24	2
458.876953125	0.001953125	234946	Stimulus	S33028	5	7
467.736328125	0.001953125	239482	Stimulus	S33059	24	2
491.283203125	0.001953125	251538	Stimulus	S33029	6	8
554.00390625	0.001953125	283651	Stimulus	S33059	24	2
567.01171875	0.001953125	290311	Stimulus	S33073	32	9
619.73828125	0.001953125	317307	Stimulus	S33059	24	2
633.064453125	0.001953125	324130	Stimulus	S33041	12	6
642.60546875	0.001953125	329015	Stimulus	S33059	24	2
684.765625	0.001953125	350601	Stimulus	S33028	5	7
694.462890625	0.001953125	355566	Stimulus	S33059	24	2
742.365234375	0.001953125	380092	Stimulus	S33029	6	8
759.564453125	0.001953125	388898	Stimulus	S33059	24	2
800.935546875	0.001953125	410080	Stimulus	S33028	5	7
809.07421875	0.001953125	414247	Stimulus	S33059	24	2
817.1640625	0.001953125	418389	Stimulus	S33041	12	6
826.796875	0.001953125	423321	Stimulus	S33074	33	0
836.140625	0.001953125	428105	Stimulus	S33048	19	3
846.666015625	0.001953125	433494	Stimulus	S33029	6	8
855.0234375	0.001953125	437773	Stimulus	S33048	19	3
864.060546875	0.001953125	442400	Stimulus	S33028	5	7
872.189453125	0.001953125	446562	Stimulus	S33048	19	3
880.673828125	0.001953125	450906	Stimulus	S33073	32	9
889.494140625	0.001953125	455422	Stimulus	S33048	19	3
898.3984375	0.001953125	459981	Stimulus	S33041	12	6
907.099609375	0.001953125	464436	Stimulus	S33048	19	3
915.84765625	0.001953125	468915	Stimulus	S33029	6	8
925.1328125	0.001953125	473669	Stimulus	S33048	19	3
934.0234375	0.001953125	478221	Stimulus	S33073	32	9
944.90625	0.001953125	483793	Stimulus	S33048	19	3
953.560546875	0.001953125	488224	Stimulus	S33028	5	7
963.91015625	0.001953125	493523	Stimulus	S33048	19	3
973.11328125	0.001953125	498235	Stimulus	S33041	12	6
981.443359375	0.001953125	502500	Stimulus	S33048	19	3
990.72265625	0.001953125	507251	Stimulus	S33073	32	9
998.974609375	0.001953125	511476	Stimulus	S33048	19	3
