onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1153.814453125	0.001953125	590754	Stimulus	S33074	33	0
1162.2421875	0.001953125	595069	Stimulus	S33074	33	0
1171.349609375	0.001953125	599732	Stimulus	S33074	33	0
1180.19921875	0.001953125	604263	Stimulus	S33074	33	0
1385.32421875	0.001953125	709287	Stimulus	S33061	26	1
1541.986328125	0.001953125	789498	Stimulus	S33043	14	7
1694.390625	0.001953125	867529	Stimulus	S33061	26	1
1766.74609375	0.001953125	904575	Stimulus	S33073	32	6
1776.671875	0.001953125	909657	Stimulus	S33061	26	1
1785.728515625	0.001953125	914294	Stimulus	S33028	5	9
1796.25390625	0.001953125	919683	Stimulus	S33061	26	1
1806.693359375	0.001953125	925028	Stimulus	S33056	21	8
1816.681640625	0.001953125	930142	Stimulus	S33061	26	1
1865.8984375	0.001953125	955341	Stimulus	S33056	21	8
1875.822265625	0.001953125	960422	Stimulus	S33061	26	1
1885.34375	0.001953125	965297	Stimulus	S33073	32	6
1893.48828125	0.001953125	969467	Stimulus	S33061	26	1
1914.306640625	0.001953125	980126	Stimulus	S33028	5	9
1948.08203125	0.001953125	997419	Stimulus	S33061	26	1
1956.40234375	0.001953125	1001679	Stimulus	S33043	14	7
1965.5703125	0.001953125	1006373	Stimulus	S33061	26	1
1977.9453125	0.001953125	1012709	Stimulus	S33073	32	6
1986.6640625	0.001953125	1017173	Stimulus	S33061	26	1
1994.998046875	0.001953125	1021440	Stimulus	S33043	14	7
2004.849609375	0.001953125	1026484	Stimulus	S33074	33	0
2065.779296875	0.001953125	1057680	Stimulus	S33074	33	0
2145.056640625	0.001953125	1098270	Stimulus	S33040	11	2
2199.912109375	0.001953125	1126356	Stimulus	S33028	5	9
2251.681640625	0.001953125	1152862	Stimulus	S33040	11	2
2645.6171875	0.001953125	1354557	Stimulus	S33073	32	6
2865.3984375	0.001953125	1467085	Stimulus	S33040	11	2
2873.91015625	0.001953125	1471443	Stimulus	S33043	14	7
2882.1171875	0.001953125	1475645	Stimulus	S33040	11	2
2895.228515625	0.001953125	1482358	Stimulus	S33056	21	8
2907.90234375	0.001953125	1488847	Stimulus	S33040	11	2
2917.90234375	0.001953125	1493967	Stimulus	S33028	5	9
2926.439453125	0.001953125	1498338	Stimulus	S33040	11	2
