onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
477.01171875	0.001953125	244231	Stimulus	S33074	33	0
488.962890625	0.001953125	250350	Stimulus	S33074	33	0
563.255859375	0.001953125	288388	Stimulus	S33074	33	0
580.623046875	0.001953125	297280	Stimulus	S33074	33	0
662.236328125	0.001953125	339066	Stimulus	S33073	32	1
696.171875	0.001953125	356441	Stimulus	S33030	7	6
767.525390625	0.001953125	392974	Stimulus	S33073	32	1
844.65625	0.001953125	432465	Stimulus	S33028	5	7
856.60546875	0.001953125	438583	Stimulus	S33073	32	1
