onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
1108.83203125	0.001953125	567723	Stimulus	S33074	33	0
1117.564453125	0.001953125	572194	Stimulus	S33074	33	0
1130.228515625	0.001953125	578678	Stimulus	S33074	33	0
1147.5859375	0.001953125	587565	Stimulus	S33074	33	0
1157.826171875	0.001953125	592808	Stimulus	S33044	15	1
1180.412109375	0.001953125	604372	Stimulus	S33059	24	6
1225.236328125	0.001953125	627322	Stimulus	S33044	15	1
1249.216796875	0.001953125	639600	Stimulus	S33040	11	7
1261.06640625	0.001953125	645667	Stimulus	S33044	15	1
1279.6328125	0.001953125	655173	Stimulus	S33029	6	8
1307.814453125	0.001953125	669602	Stimulus	S33044	15	1
1317.10546875	0.001953125	674359	Stimulus	S33043	14	9
1326.646484375	0.001953125	679244	Stimulus	S33044	15	1
1348.048828125	0.001953125	690202	Stimulus	S33059	24	6
1360.560546875	0.001953125	696608	Stimulus	S33044	15	1
1368.82421875	0.001953125	700839	Stimulus	S33029	6	8
1378.177734375	0.001953125	705628	Stimulus	S33044	15	1
1392.189453125	0.001953125	712802	Stimulus	S33040	11	7
1437.962890625	0.001953125	736238	Stimulus	S33044	15	1
1446.220703125	0.001953125	740466	Stimulus	S33043	14	9
1458.513671875	0.001953125	746760	Stimulus	S33044	15	1
1468.267578125	0.001953125	751754	Stimulus	S33059	24	6
1476.65625	0.001953125	756049	Stimulus	S33074	33	0
1490.263671875	0.001953125	763016	Stimulus	S33074	33	0
1499.228515625	0.001953125	767606	Stimulus	S33060	25	2
1507.90625	0.001953125	772049	Stimulus	S33059	24	6
1565.626953125	0.001953125	801602	Stimulus	S33060	25	2
1579.609375	0.001953125	808761	Stimulus	S33043	14	9
1588.390625	0.001953125	813257	Stimulus	S33060	25	2
1627.677734375	0.001953125	833372	Stimulus	S33029	6	8
1636.85546875	0.001953125	838071	Stimulus	S33060	25	2
1646.021484375	0.001953125	842764	Stimulus	S33040	11	7
1670.53125	0.001953125	855313	Stimulus	S33060	25	2
1679.109375	0.001953125	859705	Stimulus	S33043	14	9
1698.2421875	0.001953125	869501	Stimulus	S33060	25	2
1707.40625	0.001953125	874193	Stimulus	S33029	6	8
1748.49609375	0.001953125	895231	Stimulus	S33060	25	2
1757.08984375	0.001953125	899631	Stimulus	S33059	24	6
1765.390625	0.001953125	903881	Stimulus	S33060	25	2
1774.3671875	0.001953125	908477	Stimulus	S33040	11	7
1783.126953125	0.001953125	912962	Stimulus	S33060	25	2
1839.291015625	0.001953125	941718	Stimulus	S33040	11	7
1848.609375	0.001953125	946489	Stimulus	S33074	33	0
1857.919921875	0.001953125	951256	Stimulus	S33028	5	3
1866.533203125	0.001953125	955666	Stimulus	S33029	6	8
1875.55859375	0.001953125	960287	Stimulus	S33028	5	3
1884.533203125	0.001953125	964882	Stimulus	S33040	11	7
1892.83203125	0.001953125	969131	Stimulus	S33028	5	3
1901.57421875	0.001953125	973607	Stimulus	S33043	14	9
1910.005859375	0.001953125	977924	Stimulus	S33028	5	3
1918.21484375	0.001953125	982127	Stimulus	S33059	24	6
1926.7421875	0.001953125	986493	Stimulus	S33028	5	3
1935.427734375	0.001953125	990940	Stimulus	S33029	6	8
1947.3828125	0.001953125	997061	Stimulus	S33028	5	3
1956.056640625	0.001953125	1001502	Stimulus	S33043	14	9
1964.21875	0.001953125	1005681	Stimulus	S33028	5	3
1973.06640625	0.001953125	1010211	Stimulus	S33040	11	7
1981.80859375	0.001953125	1014687	Stimulus	S33028	5	3
1993.0546875	0.001953125	1020445	Stimulus	S33059	24	6
2001.177734375	0.001953125	1024604	Stimulus	S33028	5	3
2011.478515625	0.001953125	1029878	Stimulus	S33029	6	8
2020.638671875	0.001953125	1034568	Stimulus	S33074	33	0
2029.3671875	0.001953125	1039037	Stimulus	S33074	33	0
2038.546875	0.001953125	1043737	Stimulus	S33046	17	4
2047.443359375	0.001953125	1048292	Stimulus	S33059	24	6
2056.791015625	0.001953125	1053078	Stimulus	S33046	17	4
2065.1796875	0.001953125	1057373	Stimulus	S33040	11	7
2073.978515625	0.001953125	1061878	Stimulus	S33046	17	4
2082.265625	0.001953125	1066121	Stimulus	S33043	14	9
2092.505859375	0.001953125	1071364	Stimulus	S33046	17	4
2101.482421875	0.001953125	1075960	Stimulus	S33029	6	8
2111.134765625	0.001953125	1080902	Stimulus	S33046	17	4
2120.126953125	0.001953125	1085506	Stimulus	S33043	14	9
2129.09765625	0.001953125	1090099	Stimulus	S33046	17	4
2137.767578125	0.001953125	1094538	Stimulus	S33059	24	6
2147.462890625	0.001953125	1099502	Stimulus	S33046	17	4
2207.265625	0.001953125	1130121	Stimulus	S33040	11	7
2216.748046875	0.001953125	1134976	Stimulus	S33046	17	4
2227.470703125	0.001953125	1140466	Stimulus	S33029	6	8
2235.90234375	0.001953125	1144783	Stimulus	S33046	17	4
2245.09765625	0.001953125	1149491	Stimulus	S33043	14	9
2254.033203125	0.001953125	1154066	Stimulus	S33074	33	0
2262.283203125	0.001953125	1158290	Stimulus	S33074	33	0
2270.345703125	0.001953125	1162418	Stimulus	S33074	33	0
2278.751953125	0.001953125	1166722	Stimulus	S33074	33	0
2287.986328125	0.001953125	1171450	Stimulus	S33074	33	0
2296.28515625	0.001953125	1175699	Stimulus	S33074	33	0
2304.9609375	0.001953125	1180141	Stimulus	S33074	33	0
2313.8984375	0.001953125	1184717	Stimulus	S33074	33	0
