onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
3504.701171875	0.001953125	1794408	Stimulus	S33074	33	0
3514.318359375	0.001953125	1799332	Stimulus	S33074	33	0
3523.091796875	0.001953125	1803824	Stimulus	S33074	33	0
3535.376953125	0.001953125	1810114	Stimulus	S33074	33	0
3678.626953125	0.001953125	1883458	Stimulus	S33027	4	1
3745.1171875	0.001953125	1917501	Stimulus	S33059	24	7
3949.52734375	0.001953125	2022159	Stimulus	S33027	4	1
3957.818359375	0.001953125	2026404	Stimulus	S33061	26	6
4138.65234375	0.001953125	2118991	Stimulus	S33027	4	1
4147.6328125	0.001953125	2123589	Stimulus	S33041	12	9
4168.609375	0.001953125	2134329	Stimulus	S33027	4	1
4176.826171875	0.001953125	2138536	Stimulus	S33049	20	8
4185.046875	0.001953125	2142745	Stimulus	S33027	4	1
4193.47265625	0.001953125	2147059	Stimulus	S33049	20	8
4204.19921875	0.001953125	2152551	Stimulus	S33027	4	1
4213.771484375	0.001953125	2157452	Stimulus	S33061	26	6
4225.578125	0.001953125	2163497	Stimulus	S33027	4	1
4234.103515625	0.001953125	2167862	Stimulus	S33041	12	9
4254.04296875	0.001953125	2178071	Stimulus	S33027	4	1
4263.50390625	0.001953125	2182915	Stimulus	S33059	24	7
4275.91015625	0.001953125	2189267	Stimulus	S33027	4	1
4284.51953125	0.001953125	2193675	Stimulus	S33061	26	6
4297.234375	0.001953125	2200185	Stimulus	S33027	4	1
4319.630859375	0.001953125	2211652	Stimulus	S33059	24	7
4328.5390625	0.001953125	2216213	Stimulus	S33074	33	0
4340.6953125	0.001953125	2222437	Stimulus	S33074	33	0
4349.38671875	0.001953125	2226887	Stimulus	S33030	7	2
4358.015625	0.001953125	2231305	Stimulus	S33041	12	9
4367.49609375	0.001953125	2236159	Stimulus	S33030	7	2
4376.724609375	0.001953125	2240884	Stimulus	S33061	26	6
4384.873046875	0.001953125	2245056	Stimulus	S33030	7	2
4398.52734375	0.001953125	2252047	Stimulus	S33059	24	7
4407.380859375	0.001953125	2256580	Stimulus	S33030	7	2
4416.6015625	0.001953125	2261301	Stimulus	S33049	20	8
4425.421875	0.001953125	2265817	Stimulus	S33030	7	2
4434.376953125	0.001953125	2270402	Stimulus	S33041	12	9
4443.36328125	0.001953125	2275003	Stimulus	S33030	7	2
4451.71484375	0.001953125	2279279	Stimulus	S33061	26	6
4460.111328125	0.001953125	2283578	Stimulus	S33030	7	2
4468.533203125	0.001953125	2287890	Stimulus	S33059	24	7
4477.89453125	0.001953125	2292683	Stimulus	S33030	7	2
4497.287109375	0.001953125	2302612	Stimulus	S33049	20	8
4506.9140625	0.001953125	2307541	Stimulus	S33030	7	2
4516.619140625	0.001953125	2312510	Stimulus	S33059	24	7
4525.439453125	0.001953125	2317026	Stimulus	S33030	7	2
4533.90234375	0.001953125	2321359	Stimulus	S33061	26	6
4542.09375	0.001953125	2325553	Stimulus	S33074	33	0
4550.734375	0.001953125	2329977	Stimulus	S33064	29	3
4561.03125	0.001953125	2335249	Stimulus	S33049	20	8
4570.537109375	0.001953125	2340116	Stimulus	S33064	29	3
4579.904296875	0.001953125	2344912	Stimulus	S33059	24	7
4588.82421875	0.001953125	2349479	Stimulus	S33064	29	3
4597.529296875	0.001953125	2353936	Stimulus	S33041	12	9
4622.974609375	0.001953125	2366964	Stimulus	S33064	29	3
4631.6484375	0.001953125	2371405	Stimulus	S33061	26	6
4660.015625	0.001953125	2385929	Stimulus	S33064	29	3
4668.5859375	0.001953125	2390317	Stimulus	S33049	20	8
4677.015625	0.001953125	2394633	Stimulus	S33064	29	3
4690.046875	0.001953125	2401305	Stimulus	S33041	12	9
4698.482421875	0.001953125	2405624	Stimulus	S33064	29	3
4748.708984375	0.001953125	2431340	Stimulus	S33059	24	7
