onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
888.880859375	0.001953125	455108	Stimulus	S33074	33	0
899.201171875	0.001953125	460392	Stimulus	S33074	33	0
909.947265625	0.001953125	465894	Stimulus	S33074	33	0
919.736328125	0.001953125	470906	Stimulus	S33074	33	0
928.201171875	0.001953125	475240	Stimulus	S33028	5	1
950.42578125	0.001953125	486619	Stimulus	S33073	32	6
1020.0078125	0.001953125	522245	Stimulus	S33028	5	1
1028.666015625	0.001953125	526678	Stimulus	S33027	4	7
1036.734375	0.001953125	530809	Stimulus	S33028	5	1
1045.400390625	0.001953125	535246	Stimulus	S33048	19	8
1100.751953125	0.001953125	563586	Stimulus	S33028	5	1
1111.01953125	0.001953125	568843	Stimulus	S33043	14	9
1119.431640625	0.001953125	573150	Stimulus	S33028	5	1
1229.986328125	0.001953125	629754	Stimulus	S33064	29	10
1239.064453125	0.001953125	634402	Stimulus	S33028	5	1
1247.578125	0.001953125	638761	Stimulus	S33073	32	6
1256.11328125	0.001953125	643131	Stimulus	S33028	5	1
1264.841796875	0.001953125	647600	Stimulus	S33048	19	8
1273.59765625	0.001953125	652083	Stimulus	S33028	5	1
1281.833984375	0.001953125	656300	Stimulus	S33027	4	7
1290.544921875	0.001953125	660760	Stimulus	S33028	5	1
1299.5703125	0.001953125	665381	Stimulus	S33064	29	10
1308.21484375	0.001953125	669807	Stimulus	S33028	5	1
1317.48046875	0.001953125	674551	Stimulus	S33043	14	9
1325.537109375	0.001953125	678676	Stimulus	S33074	33	0
1334.689453125	0.001953125	683362	Stimulus	S33074	33	0
1343.337890625	0.001953125	687790	Stimulus	S33044	15	2
1351.77734375	0.001953125	692111	Stimulus	S33073	32	6
1364.115234375	0.001953125	698428	Stimulus	S33044	15	2
1373.478515625	0.001953125	703222	Stimulus	S33043	14	9
1381.615234375	0.001953125	707388	Stimulus	S33044	15	2
1390.244140625	0.001953125	711806	Stimulus	S33048	19	8
1400.435546875	0.001953125	717024	Stimulus	S33044	15	2
1410.544921875	0.001953125	722200	Stimulus	S33027	4	7
1418.71875	0.001953125	726385	Stimulus	S33044	15	2
1428.810546875	0.001953125	731552	Stimulus	S33064	29	10
1437.705078125	0.001953125	736106	Stimulus	S33044	15	2
