onset	duration	sample	type	value	item_value	SatNum
0	0.001953125	1	New Segment	n/a	0	0
102.16015625	0.001953125	52307	Stimulus	S33061	26	1
192.7734375	0.001953125	98701	Stimulus	S33030	7	6
270.79296875	0.001953125	138647	Stimulus	S33061	26	1
364.89453125	0.001953125	186827	Stimulus	S33043	14	7
468.884765625	0.001953125	240070	Stimulus	S33061	26	1
515.001953125	0.001953125	263682	Stimulus	S33040	11	8
531.259765625	0.001953125	272006	Stimulus	S33061	26	1
590.435546875	0.001953125	302304	Stimulus	S33049	20	9
600.126953125	0.001953125	307266	Stimulus	S33061	26	1
